,names,year,month.x,day,project,station,depth,replicate,fraction,date,month.y,vol_filtered_mL,DNA_conc1a_nguL,total_uL_DNA,tot_ng,DNA_conc1b_nguL,DNA_conc2_nguL,tot_filtration_time,collection_time,process_time,sitting_time,julian_day,total_filter,used_filter,filter_left,X10min_65,dna_kit,vol_DNAused_16S,vol_qPCR,labnote_page,Sample_or_Control
20210602-MA-SCS1F,20210602-MA-SCS1F,2021,June,02,MA,Shipping Channel,S,1,Free,6/2/21,June,242,8.88,41.95,390,NA,did not measure,17,13:00,,,153,1,0.5,0.5,yes,July26_kit,4.05,2,,True Sample
20210602-MA-SCS1P,20210602-MA-SCS1P,2021,June,02,MA,Shipping Channel,S,1,Particle,6/2/21,June,242,3.8,36.53,146,NA,did not measure,17,13:00,,,153,1,0.5,0.5,yes,July26_kit,9.47,2,,True Sample
20210602-MA-SCS1W,20210602-MA-SCS1W,2021,June,02,MA,Shipping Channel,S,1,Whole,6/2/21,June,345,19.9,44.19,919,NA,did not measure,17,13:00,,,153,1,0.5,0.5,yes,July26_kit,1.81,2,,True Sample
20210615-MA-ABB2F,20210615-MA-ABB2F,2021,June,15,MA,Aransas Bay,B,2,Free,6/15/21,June,245,29.1,44.76,1361,19.9,3.1,20,9:00,21:25,12:25,166,1,0.5,0.5,no,Apr2019_kit,1.24,2,,True Sample
20210615-MA-ABB2P,20210615-MA-ABB2P,2021,June,15,MA,Aransas Bay,B,2,Particle,6/15/21,June,245,4.55,38.09,182,3.64,0.71,20,9:00,21:25,12:25,166,1,0.5,0.5,no,Apr2019_kit,7.91,2,,True Sample
20210615-MA-ABB2W,20210615-MA-ABB2W,2021,June,15,MA,Aransas Bay,B,2,Whole,6/15/21,June,290,35.8,44.99,1682,32.5,3.07,20,9:00,21:25,12:25,166,1,0.5,0.5,no,Apr2019_kit,1.01,2,,True Sample
20210615-MA-ABS1F,20210615-MA-ABS1F,2021,June,15,MA,Aransas Bay,S,1,Free,6/15/21,June,200,38.7,44.91,1815,NA,did not measure,20,9:00,,,166,1,0.5,0.5,no,Apr2019_kit,1.09,2,,True Sample
20210615-MA-ABS1P,20210615-MA-ABS1P,2021,June,15,MA,Aransas Bay,S,1,Particle,6/15/21,June,200,5.89,39.89,247,NA,did not measure,20,9:00,,,166,1,0.5,0.5,no,Apr2019_kit,6.11,2,,True Sample
20210615-MA-ABS1W,20210615-MA-ABS1W,2021,June,15,MA,Aransas Bay,S,1,Whole,6/15/21,June,300,49.1,45.14,2315,NA,did not measure,20,9:00,,,166,1,0.5,0.5,no,Apr2019_kit,0.86,2,Filtered intro a bottled that leaked volume estimated from ABS2W,True Sample
20210615-MA-CEB1F,20210615-MA-CEB1F,2021,June,15,MA,Copano East,B,1,Free,6/15/21,June,180,31.7,44.86,1485,NA,did not measure,15,11:40,0:05,12:25,166,1,1,0,yes,July26_kit,1.14,2,Process time is next day - June 16th,True Sample
20210615-MA-CEB1P,20210615-MA-CEB1P,2021,June,15,MA,Copano East,B,1,Particle,6/15/21,June,180,38.4,44.91,1801,NA,did not measure,15,11:40,0:05,12:25,166,1,1,0,yes,July26_kit,1.09,2,Process time is next day - June 16th,True Sample
20210615-MA-CEB1W,20210615-MA-CEB1W,2021,June,15,MA,Copano East,B,1,Whole,6/15/21,June,206,94.4,45.56,4490,NA,did not measure,15,11:40,0:05,12:25,166,1,1,0,yes,July26_kit,0.44,2,Process time is next day - June 16th,True Sample
20210615-MA-CES1F,20210615-MA-CES1F,2021,June,15,MA,Copano East,S,1,Free,6/15/21,June,180,42.8,45.02,2012,NA,did not measure,15,11:40,,,166,1,0.5,0.5,no,Apr2019_kit,0.98,2,,True Sample
20210615-MA-CES1P,20210615-MA-CES1P,2021,June,15,MA,Copano East,S,1,Particle,6/15/21,June,180,2.93,34,105,NA,did not measure,15,11:40,,,166,1,0.5,0.5,no,Apr2019_kit,12,2,,True Sample
20210615-MA-CES1W,20210615-MA-CES1W,2021,June,15,MA,Copano East,S,1,Whole,6/15/21,June,220,57,45.26,2694,NA,did not measure,15,11:40,,,166,1,0.5,0.5,no,Apr2019_kit,0.74,2,,True Sample
20210615-MA-CWB1F,20210615-MA-CWB1F,2021,June,15,MA,Copano West,B,1,Free,6/15/21,June,180,36.8,44.86,1724,NA,did not measure,20,10:20,,,166,1,0.5,0.5,yes,July26_kit,1.14,2,Water warm above filters - will do 15 min filtration,True Sample
20210615-MA-CWB1P,20210615-MA-CWB1P,2021,June,15,MA,Copano West,B,1,Particle,6/15/21,June,180,35.5,44.99,1668,NA,did not measure,20,10:20,,,166,1,0.5,0.5,yes,July26_kit,1.01,2,Water warm above filters - will do 15 min filtration,True Sample
20210615-MA-CWB1W,20210615-MA-CWB1W,2021,June,15,MA,Copano West,B,1,Whole,6/15/21,June,196,91,43.54,4144,NA,did not measure,20,10:20,,,166,1,0.5,0.5,yes,July26_kit,0.46,2,Water warm above filters - will do 15 min filtration,True Sample
20210615-MA-CWS1F,20210615-MA-CWS1F,2021,June,15,MA,Copano West,S,1,Free,6/15/21,June,185,46.5,45.1,2190,NA,did not measure,20,10:20,22:00,11:40,166,1,0.5,0.5,no,Apr2019_kit,0.9,2,,True Sample
20210615-MA-CWS1P,20210615-MA-CWS1P,2021,June,15,MA,Copano West,S,1,Particle,6/15/21,June,185,20.5,44.24,948,NA,did not measure,20,10:20,22:00,11:40,166,1,0.5,0.5,no,Apr2019_kit,1.76,2,,True Sample
20210615-MA-CWS1W,20210615-MA-CWS1W,2021,June,15,MA,Copano West,S,1,Whole,6/15/21,June,195,66.6,45.37,3155,NA,did not measure,20,10:20,22:00,11:40,166,1,0.5,0.5,no,Apr2019_kit,0.63,2,,True Sample
20210615-MA-MBB1F,20210615-MA-MBB1F,2021,June,15,MA,Mesquite Bay,B,1,Free,6/15/21,June,230,45.5,45.08,2142,NA,did not measure,15,12:20,0:48,12:28,166,1,0.5,0.5,yes,July26_kit,0.92,2,Process time is next day - June 16th,True Sample
20210615-MA-MBB1P,20210615-MA-MBB1P,2021,June,15,MA,Mesquite Bay,B,1,Particle,6/15/21,June,230,23.5,44.47,1092,NA,did not measure,15,12:20,0:48,12:28,166,1,0.5,0.5,yes,July26_kit,1.53,2,Process time is next day - June 16th,True Sample
20210615-MA-MBB1W,20210615-MA-MBB1W,2021,June,15,MA,Mesquite Bay,B,1,Whole,6/15/21,June,284,109,43.61,4971,NA,did not measure,15,12:20,0:48,12:28,166,1,0.5,0.5,yes,July26_kit,0.39,2,Process time is next day - June 16th,True Sample
20210615-MA-MBS1F,20210615-MA-MBS1F,2021,June,15,MA,Mesquite Bay,S,1,Free,6/15/21,June,262,71.9,45.42,3409,NA,did not measure,15,12:20,0:23,12:03,166,1,0.5,0.5,yes,July26_kit,0.58,2,Process time is next day - June 16th,True Sample
20210615-MA-MBS1P,20210615-MA-MBS1P,2021,June,15,MA,Mesquite Bay,S,1,Particle,6/15/21,June,262,13,43.23,588,NA,did not measure,15,12:20,0:23,12:03,166,1,0.5,0.5,yes,July26_kit,2.77,2,Process time is next day - June 16th,True Sample
20210615-MA-MBS1W,20210615-MA-MBS1W,2021,June,15,MA,Mesquite Bay,S,1,Whole,6/15/21,June,315,111,43.62,5064,NA,did not measure,15,12:20,0:23,12:03,166,1,0.5,0.5,yes,July26_kit,0.38,2,Process time is next day - June 16th,True Sample
20210615-MA-SCB2F,20210615-MA-SCB2F,2021,June,15,MA,Shipping Channel,B,2,Free,6/15/21,June,410,25,44.56,1164,NA,2.79,15,14:15,2:20,12:05,166,1,1,0,yes,July26_kit & July13_kit with new buffer,1.44,2,Process time is next day - June 16th,True Sample
20210615-MA-SCB2P,20210615-MA-SCB2P,2021,June,15,MA,Shipping Channel,B,2,Particle,6/15/21,June,410,3.62,36.05524862,138,NA,did not measure,15,14:15,2:20,12:05,166,1,0.5,0.5,yes,July26_kit,9.94,2,Process time is next day - June 16th,True Sample
20210615-MA-SCB2W,20210615-MA-SCB2W,2021,June,15,MA,Shipping Channel,B,2,Whole,6/15/21,June,460,32.8,44.9,1538,NA,did not measure,15,14:15,2:20,12:05,166,1,0.5,0.5,yes,July26_kit,1.1,2,Process time is next day - June 16th,True Sample
20210615-MA-SCS2F,20210615-MA-SCS2F,2021,June,15,MA,Shipping Channel,S,2,Free,6/15/21,June,475,25.2,44.57,1174,NA,did not measure,15,14:15,1:34,11:19,166,1,0.5,0.5,yes,July26_kit,1.43,2,Process time is next day - June 16th,True Sample
20210615-MA-SCS2P,20210615-MA-SCS2P,2021,June,15,MA,Shipping Channel,S,2,Particle,6/15/21,June,475,1.97,31,65,NA,0.744,15,14:15,1:34,11:19,166,1,1,0,yes,July26_kit & July13_kit with new buffer,15,2,Process time is next day - June 16th,True Sample
20210615-MA-SCS2W,20210615-MA-SCS2W,2021,June,15,MA,Shipping Channel,S,2,Whole,6/15/21,June,500,27.5,44.69,1284,NA,did not measure,15,14:15,1:34,11:19,166,1,0.5,0.5,yes,July26_kit,1.31,2,Process time is next day - June 16th,True Sample
20211005-MA-ABB2F,20211005-MA-ABB2F,2021,October,05,MA,Aransas Bay,B,2,Free,10/5/21,October,138,22.4,43.32,1015,NA,NA,15,,21:08,,278,1,0.5,0.5,yes,July13_kit with new buffer,2.68,2,,True Sample
20211005-MA-ABB2P,20211005-MA-ABB2P,2021,October,05,MA,Aransas Bay,B,2,Particle,10/5/21,October,138,3.32,26,93,NA,NA,15,,21:08,,278,1,0.5,0.5,yes,July13_kit with new buffer,20,2,,True Sample
20211005-MA-ABB2W,20211005-MA-ABB2W,2021,October,05,MA,Aransas Bay,B,2,Whole,10/5/21,October,226,60,45,2820,NA,NA,15,,21:08,,278,1,0.5,0.5,yes,July13_kit with new buffer,1,2,,True Sample
20211005-MA-ABS1F,20211005-MA-ABS1F,2021,October,05,MA,Aransas Bay,S,1,Free,10/5/21,October,156,26.6,43.74,1217,NA,NA,15,,19:53,,278,1,0.5,0.5,yes,July13_kit with new buffer,2.26,2,,True Sample
20211005-MA-ABS1P,20211005-MA-ABS1P,2021,October,05,MA,Aransas Bay,S,1,Particle,10/5/21,October,156,1.67,26,47,NA,NA,15,,19:53,,278,1,0.5,0.5,yes,July13_kit with new buffer,20,2,,True Sample
20211005-MA-ABS1W,20211005-MA-ABS1W,2021,October,05,MA,Aransas Bay,S,1,Whole,10/5/21,October,214,53,44.87,2484,NA,NA,15,,19:53,,278,1,0.5,0.5,yes,July13_kit with new buffer,1.13,2,,True Sample
20211005-MA-CEB1F,20211005-MA-CEB1F,2021,October,05,MA,Copano East,B,1,Free,10/5/21,October,154,26.7,43.75,1222,NA,NA,13,,0:31,,278,1,0.5,0.5,yes,July13_kit with new buffer,2.25,2,Next Day,True Sample
20211005-MA-CEB1P,20211005-MA-CEB1P,2021,October,05,MA,Copano East,B,1,Particle,10/5/21,October,154,12.4,41.16,535,NA,NA,13,,0:31,,278,1,0.5,0.5,yes,July13_kit with new buffer,4.84,2,Next Day,True Sample
20211005-MA-CEB1W,20211005-MA-CEB1W,2021,October,05,MA,Copano East,B,1,Whole,10/5/21,October,212,58,44.97,2724,NA,NA,15,,0:09,,278,1,0.5,0.5,yes,July13_kit with new buffer,1.03,2,Next Day,True Sample
20211005-MA-CES2F,20211005-MA-CES2F,2021,October,05,MA,Copano East,S,2,Free,10/5/21,October,154,21.4,41.2,967,NA,NA,15,,23:48,,278,1,0.5,0.5,yes,July13_kit with new buffer,2.8,2,,True Sample
20211005-MA-CES2P,20211005-MA-CES2P,2021,October,05,MA,Copano East,S,2,Particle,10/5/21,October,154,4.81,24,135,NA,NA,15,,23:48,,278,1,0.5,0.5,yes,July13_kit with new buffer,20,2,,True Sample
20211005-MA-CES2W,20211005-MA-CES2W,2021,October,05,MA,Copano East,S,2,Whole,10/5/21,October,161,74.8,45.2,3531,NA,NA,15,,23:48,,278,1,0.5,0.5,yes,July13_kit with new buffer,0.8,2,,True Sample
20211005-MA-CWB1F,20211005-MA-CWB1F,2021,October,05,MA,Copano West,B,1,Free,10/5/21,October,125,9.41,27.56,316,NA,NA,15,,22:55,,278,1,0.5,0.5,yes,July13_kit with new buffer,12.44,2,bottom sediment in particle sample,True Sample
20211005-MA-CWB1P,20211005-MA-CWB1P,2021,October,05,MA,Copano West,B,1,Particle,10/5/21,October,125,12,39,516,NA,NA,15,,22:55,,278,1,0.5,0.5,yes,July13_kit with new buffer,5,2,bottom sediment in particle sample,True Sample
20211005-MA-CWB1W,20211005-MA-CWB1W,2021,October,05,MA,Copano West,B,1,Whole,10/5/21,October,145,10.6,38.34,449,NA,NA,15,,22:55,,278,1,0.5,0.5,yes,July13_kit with new buffer,5.66,2,bottom sediment in particle sample,True Sample
20211005-MA-CWS1F,20211005-MA-CWS1F,2021,October,05,MA,Copano West,S,1,Free,10/5/21,October,119,7.04,46,338,NA,NA,15,,22:12,,278,1,0.5,0.5,yes,July13_kit with new buffer,8.52,2,,True Sample
20211005-MA-CWS1P,20211005-MA-CWS1P,2021,October,05,MA,Copano West,S,1,Particle,10/5/21,October,119,3.01,46,144,NA,NA,15,,22:12,,278,1,0.5,0.5,yes,July13_kit with new buffer,20,2,,True Sample
20211005-MA-CWS1W,20211005-MA-CWS1W,2021,October,05,MA,Copano West,S,1,Whole,10/5/21,October,145,9.03,35.48,357,NA,NA,15,,22:12,,278,1,0.5,0.5,yes,July13_kit with new buffer,6.64,2,,True Sample
20211005-MA-MBB1F,20211005-MA-MBB1F,2021,October,05,MA,Mesquite Bay,B,1,Free,10/5/21,October,174,44,44.64,2052,NA,NA,15,,1:15,,278,1,0.5,0.5,yes,July13_kit with new buffer,1.36,2,Next Day,True Sample
20211005-MA-MBB1P,20211005-MA-MBB1P,2021,October,05,MA,Mesquite Bay,B,1,Particle,10/5/21,October,174,7.31,37.79,291,NA,NA,15,,1:15,,278,1,0.5,0.5,yes,July13_kit with new buffer,8.21,2,Next Day,True Sample
20211005-MA-MBB1W,20211005-MA-MBB1W,2021,October,05,MA,Mesquite Bay,B,1,Whole,10/5/21,October,212,89.5,45.33,4236,NA,NA,15,,1:15,,278,1,0.5,0.5,yes,July13_kit with new buffer,0.67,2,Next Day,True Sample
20211005-MA-MBS1F,20211005-MA-MBS1F,2021,October,05,MA,Mesquite Bay,S,1,Free,10/5/21,October,185,56,44.93,2628,NA,NA,15,,0:50,,278,1,0.5,0.5,yes,July13_kit with new buffer,1.07,2,Next Day,True Sample
20211005-MA-MBS1P,20211005-MA-MBS1P,2021,October,05,MA,Mesquite Bay,S,1,Particle,10/5/21,October,185,10.1,40.06,425,NA,NA,15,,0:50,,278,1,0.5,0.5,yes,July13_kit with new buffer,5.94,2,Next Day,True Sample
20211005-MA-MBS1W,20211005-MA-MBS1W,2021,October,05,MA,Mesquite Bay,S,1,Whole,10/5/21,October,208,56,44.93,2628,NA,NA,15,,0:50,,278,1,0.5,0.5,yes,July13_kit with new buffer,1.07,2,Next Day,True Sample
20211005-MA-SCB1F,20211005-MA-SCB1F,2021,October,05,MA,Shipping Channel,B,1,Free,10/5/21,October,391,31.2,44.08,1438,NA,NA,15,,2:05,,278,1,0.5,0.5,yes,July13_kit with new buffer,1.92,2,Next Day,True Sample
20211005-MA-SCB1P,20211005-MA-SCB1P,2021,October,05,MA,Shipping Channel,B,1,Particle,10/5/21,October,391,26.6,43.74,1217,NA,NA,15,,2:05,,278,1,0.5,0.5,yes,July13_kit with new buffer,2.26,2,Next Day, True Sample
20211005-MA-SCB1W,20211005-MA-SCB1W,2021,October,05,MA,Shipping Channel,B,1,Whole,10/5/21,October,364,38.7,44.45,1798,NA,NA,15,,2:05,,278,1,0.5,0.5,yes,July13_kit with new buffer,1.55,2,Next Day,True Sample
20211005-MA-SCS2F,20211005-MA-SCS2F,2021,October,05,MA,Shipping Channel,S,2,Free,10/5/21,October,385,32.4,44.15,1495,NA,NA,15,,2:30,,278,1,0.5,0.5,yes,July13_kit with new buffer,1.85,2,Next Day,True Sample
20211005-MA-SCS2P,20211005-MA-SCS2P,2021,October,05,MA,Shipping Channel,S,2,Particle,10/5/21,October,385,2.63,26,74,NA,NA,15,,2:30,,278,1,0.5,0.5,yes,July13_kit with new buffer,20,2,Next Day,True Sample
20211005-MA-SCS2W,20211005-MA-SCS2W,2021,October,05,MA,Shipping Channel,S,2,Whole,10/5/21,October,410,37.6,44.4,1745,NA,NA,15,,2:30,,278,1,0.5,0.5,yes,July13_kit with new buffer,1.6,2,Next Day,True Sample
3um-Control,3um-Control,3um-,Control,nt,ol,Control,,,Control,NA,NA,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Control
CJ-V08-P,CJ-V08-P,CJ-V,Control,-P,,Control,,,Control,NA,NA,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Control
DNA-Ext-Control,DNA-Ext-Control,DNA-,Control,t-,on,Control,l,,Control,NA,NA,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Control
MockZymoPos,MockZymoPos,Mock,Control,mo,os,Control,,,Control,NA,NA,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Control
WaterControl,WaterControl,Wate,Control,on,ro,Control,,,Control,NA,NA,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Control
